id,sub_district_code,province_id,district_id,sub_district_id,postal_code
"1","100101","1","1","1","10200"
"2","100102","1","1","2","10200"
"3","100103","1","1","3","10200"
"4","100104","1","1","4","10200"
"5","100105","1","1","5","10200"
"6","100106","1","1","6","10200"
"7","100107","1","1","7","10200"
"8","100108","1","1","8","10200"
"9","100109","1","1","9","10200"
"10","100110","1","1","10","10200"
"11","100111","1","1","11","10200"
"12","100112","1","1","12","10200"
"13","100201","1","2","13","10300"
"14","100202","1","2","14","10300"
"15","100203","1","2","15","10300"
"16","100204","1","2","16","10300"
"17","100206","1","2","18","10300"
"18","100301","1","3","20","10530"
"19","100302","1","3","21","10530"
"20","100303","1","3","22","10530"
"21","100304","1","3","23","10530"
"22","100305","1","3","24","10530"
"23","100306","1","3","25","10530"
"24","100307","1","3","26","10530"
"25","100308","1","3","27","10530"
"26","100401","1","4","28","10500"
"27","100402","1","4","29","10500"
"28","100403","1","4","30","10500"
"29","100404","1","4","31","10500"
"30","100405","1","4","32","10500"
"31","100502","1","5","34","10220"
"32","100508","1","5","40","10220"
"33","100601","1","6","43","10240"
"34","100608","1","6","50","10240"
"35","100701","1","7","51","10330"
"36","100702","1","7","52","10330"
"37","100703","1","7","53","10330"
"38","100704","1","7","54","10330"
"39","100801","1","8","55","10100"
"40","100802","1","8","56","10100"
"41","100803","1","8","57","10100"
"42","100804","1","8","58","10100"
"43","100805","1","8","59","10100"
"44","100905","1","9","65","10260"
"45","101001","1","10","73","10510"
"46","101002","1","10","74","10510"
"47","101101","1","11","80","10520"
"48","101102","1","11","81","10520"
"49","101103","1","11","82","10520"
"50","101104","1","11","83","10520"
"51","101105","1","11","84","10520"
"52","101106","1","11","85","10520"
"53","101203","1","12","88","10120"
"54","101204","1","12","89","10120"
"55","101301","1","13","96","10100"
"56","101302","1","13","97","10100"
"57","101303","1","13","98","10100"
"58","101401","1","14","99","10400"
"59","101501","1","15","105","10600"
"60","101502","1","15","106","10600"
"61","101503","1","15","107","10600"
"62","101504","1","15","108","10600"
"63","101505","1","15","109","10600"
"64","101506","1","15","110","10600"
"65","101507","1","15","111","10600"
"66","101601","1","16","113","10600"
"67","101602","1","16","114","10600"
"68","101701","1","17","115","10310"
"69","101702","1","17","116","10310"
"70","101704","1","17","118","10310"
"71","101801","1","18","119","10600"
"72","101802","1","18","120","10600"
"73","101803","1","18","121","10600"
"74","101804","1","18","122","10600"
"75","101901","1","19","123","10170"
"76","101902","1","19","124","10170"
"77","101903","1","19","125","10170"
"78","101904","1","19","126","10170"
"79","101905","1","19","127","10170"
"80","101907","1","19","129","10170"
"81","102004","1","20","134","10700"
"82","102005","1","20","135","10700"
"83","102006","1","20","136","10700"
"84","102007","1","20","137","10700"
"85","102009","1","20","139","10700"
"86","102105","1","21","147","10150"
"87","102107","1","21","149","10150"
"88","102201","1","22","150","10160"
"89","102202","1","22","151","10160"
"90","102203","1","22","152","10160"
"91","102204","1","22","153","10160"
"92","102205","1","22","154","10160"
"93","102206","1","22","155","10160"
"94","102207","1","22","156","10160"
"95","102208","1","22","157","10160"
"96","102209","1","22","158","10160"
"97","102210","1","22","159","10160"
"98","102302","1","23","161","10160"
"99","102303","1","23","162","10160"
"100","102401","1","24","163","10140"
"101","102402","1","24","164","10140"
"102","102403","1","24","165","10140"
"103","102404","1","24","166","10140"
"104","102501","1","25","167","10700"
"105","102502","1","25","168","10700"
"106","102503","1","25","169","10700"
"107","102504","1","25","170","10700"
"108","102601","1","26","171","10400"
"109","102701","1","27","172","10240"
"110","102702","1","27","173","10240"
"111","102703","1","27","174","10240"
"112","102801","1","28","175","10120"
"113","102802","1","28","176","10120"
"114","102803","1","28","177","10120"
"115","102901","1","29","178","10800"
"116","103001","1","30","179","10900"
"117","103002","1","30","180","10900"
"118","103003","1","30","181","10900"
"119","103004","1","30","182","10900"
"120","103005","1","30","183","10900"
"121","103101","1","31","184","10120"
"122","103102","1","31","185","10120"
"123","103103","1","31","186","10120"
"124","103201","1","32","187","10250"
"125","103202","1","32","188","10250"
"126","103203","1","32","189","10250"
"127","103204","1","32","190","10250"
"128","103301","1","33","191","10110"
"129","103302","1","33","192","10110"
"130","103303","1","33","193","10110"
"131","103304","1","33","194","10110"
"132","103305","1","33","195","10110"
"133","103306","1","33","196","10110"
"134","103401","1","34","197","10250"
"135","103501","1","35","198","10150"
"136","103502","1","35","199","10150"
"137","103503","1","35","200","10150"
"138","103504","1","35","201","10150"
"139","103602","1","36","203","10210"
"140","103701","1","37","205","10400"
"141","103702","1","37","206","10400"
"142","103703","1","37","207","10400"
"143","103704","1","37","208","10400"
"144","103801","1","38","209","10230"
"145","103802","1","38","210","10230"
"146","103901","1","39","211","10110"
"147","103902","1","39","212","10110"
"148","103903","1","39","213","10110"
"149","104001","1","40","214","10160"
"150","104002","1","40","215","10160"
"151","104003","1","40","216","10160"
"152","104004","1","40","217","10160"
"153","104101","1","41","218","10210"
"154","104102","1","41","219","10210"
"155","104201","1","42","220","10220"
"156","104202","1","42","221","10220"
"157","104203","1","42","222","10220"
"158","104301","1","43","223","10230"
"159","104401","1","44","224","10240"
"160","104501","1","45","225","10310"
"161","104601","1","46","226","10510"
"162","104602","1","46","227","10510"
"163","104603","1","46","228","10510"
"164","104604","1","46","229","10510"
