code,geo_id,id,name
"10",2,1,"กรุงเทพมหานคร"
"11",2,2,"สมุทรปราการ"
"12",2,3,"นนทบุรี"
"13",2,4,"ปทุมธานี"
"14",2,5,"พระนครศรีอยุธยา"
"15",2,6,"อ่างทอง"
"16",2,7,"ลพบุรี"
"17",2,8,"สิงห์บุรี"
"18",2,9,"ชัยนาท"
"19",2,10,"สระบุรี"
"20",5,11,"ชลบุรี"
"21",5,12,"ระยอง"
"22",5,13,"จันทบุรี"
"23",5,14,"ตราด"
"24",5,15,"ฉะเชิงเทรา"
"25",5,16,"ปราจีนบุรี"
"26",2,17,"นครนายก"
"27",5,18,"สระแก้ว"
"30",3,19,"นครราชสีมา"
"31",3,20,"บุรีรัมย์"
"32",3,21,"สุรินทร์"
"33",3,22,"ศรีสะเกษ"
"34",3,23,"อุบลราชธานี"
"35",3,24,"ยโสธร"
"36",3,25,"ชัยภูมิ"
"37",3,26,"อำนาจเจริญ"
"39",3,27,"หนองบัวลำภู"
"40",3,28,"ขอนแก่น"
"41",3,29,"อุดรธานี"
"42",3,30,"เลย"
"43",3,31,"หนองคาย"
"44",3,32,"มหาสารคาม"
"45",3,33,"ร้อยเอ็ด"
"46",3,34,"กาฬสินธุ์"
"47",3,35,"สกลนคร"
"48",3,36,"นครพนม"
"49",3,37,"มุกดาหาร"
"50",1,38,"เชียงใหม่"
"51",1,39,"ลำพูน"
"52",1,40,"ลำปาง"
"53",1,41,"อุตรดิตถ์"
"54",1,42,"แพร่"
"55",1,43,"น่าน"
"56",1,44,"พะเยา"
"57",1,45,"เชียงราย"
"58",1,46,"แม่ฮ่องสอน"
"60",2,47,"นครสวรรค์"
"61",2,48,"อุทัยธานี"
"62",2,49,"กำแพงเพชร"
"63",4,50,"ตาก"
"64",2,51,"สุโขทัย"
"65",2,52,"พิษณุโลก"
"66",2,53,"พิจิตร"
"67",2,54,"เพชรบูรณ์"
"70",4,55,"ราชบุรี"
"71",4,56,"กาญจนบุรี"
"72",2,57,"สุพรรณบุรี"
"73",2,58,"นครปฐม"
"74",2,59,"สมุทรสาคร"
"75",2,60,"สมุทรสงคราม"
"76",4,61,"เพชรบุรี"
"77",4,62,"ประจวบคีรีขันธ์"
"80",6,63,"นครศรีธรรมราช"
"81",6,64,"กระบี่"
"82",6,65,"พังงา"
"83",6,66,"ภูเก็ต"
"84",6,67,"สุราษฎร์ธานี"
"85",6,68,"ระนอง"
"86",6,69,"ชุมพร"
"90",6,70,"สงขลา"
"91",6,71,"สตูล"
"92",6,72,"ตรัง"
"93",6,73,"พัทลุง"
"94",6,74,"ปัตตานี"
"95",6,75,"ยะลา"
"96",6,76,"นราธิวาส"
"97",3,77,"บึงกาฬ"
